Date,M2MS,FedFundsRate,CPI
1979-03-01,1387.8,10.0887096774194000,9.689852424
1979-04-01,1402.1,10.0103333333333000,9.934098639
1979-05-01,1410.2,10.2419354838710000,10.09794116
1979-06-01,1423.0,10.2916666666667000,10.284819787
1979-07-01,1434.8,10.4716129032258000,10.521237318
1979-08-01,1446.6,10.9361290322581000,10.954395743
1979-09-01,1454.1,11.4283333333333000,11.002540622
1979-10-01,1460.4,13.7687096774194000,11.279514365
1979-11-01,1465.9,13.1803333333333000,11.951758189
1979-12-01,1473.7,13.7787096774194000,12.761858458
1980-01-01,1482.7,13.8167741935484000,13.499249243
1980-02-01,1494.6,14.1262068965517000,13.627778119
1980-03-01,1499.8,17.1922580645161000,14.361385885
1980-04-01,1502.2,17.6076666666667000,14.786779517
1980-05-01,1512.3,10.9832258064516000,15.147255922
1980-06-01,1529.2,9.4720000000000000,15.810582065
1980-07-01,1545.5,9.0258064516129000,14.178529783
1980-08-01,1561.5,9.6054838709677400,13.314194421
1980-09-01,1574.0,10.8720000000000000,13.136608244
1980-10-01,1584.8,12.8135483870968000,13.133051948
1980-11-01,1595.8,15.8486666666667000,12.91869716
1980-12-01,1599.8,18.8961290322581000,12.732242952
1981-01-01,1606.9,19.0845161290323000,12.062863603
1981-02-01,1618.7,15.9342857142857000,11.274926046
1981-03-01,1636.6,14.7038709677419000,10.363727852
1981-04-01,1659.2,15.7190000000000000,9.752589153
1981-05-01,1664.2,18.5177419354839000,9.645887355
1981-06-01,1670.3,19.0996666666667000,9.250210999
1981-07-01,1681.9,19.0358064516129000,11.274384726
1981-08-01,1694.3,17.8177419354839000,11.853018154
1981-09-01,1706.0,15.8740000000000000,12.262533118
1981-10-01,1721.8,15.0800000000000000,11.298313544
1981-11-01,1736.1,13.3070000000000000,10.554645194
1981-12-01,1755.5,12.3690322580645000,9.884984782
1982-01-01,1770.4,13.2206451612903000,9.499196473
1982-02-01,1774.5,14.7792857142857000,9.56769049
1982-03-01,1786.5,14.6777419354839000,8.920648287
1982-04-01,1803.9,14.9370000000000000,9.112202163
1982-05-01,1815.4,14.4548387096774000,9.08479885
1982-06-01,1826.0,14.1526666666667000,8.909836827
1982-07-01,1831.5,12.5867741935484000,7.912560428
1982-08-01,1845.2,10.1190322580645000,7.351467333
1982-09-01,1858.4,10.3096666666667000,6.003409335
1982-10-01,1869.7,9.7070967741935500,6.000904404
1982-11-01,1883.7,9.1963333333333300,5.327823771
1982-12-01,1905.9,8.9454838709677400,4.518985485
1983-01-01,1959.4,8.6832258064516100,4.695598354
1983-02-01,1996.8,8.5089285714285700,4.62783567
1983-03-01,2015.2,8.7661290322580600,4.855813143
1983-04-01,2028.6,8.8020000000000000,4.456933531
1983-05-01,2043.1,8.6300000000000000,3.549623729
1983-06-01,2053.5,8.9820000000000000,2.843739681
1983-07-01,2064.8,9.3677419354838700,2.630755198
